id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
76005,"Heart of Recoleta, no better place!",315089,Max,,Recoleta,-34.59014,-58.39386,Entire home/apt,3848,5,6,2011-08-30,0.06,7,365
76385,Studio In Downtown Buenos Aires,407702,Ruy,,Monserrat,-34.61337,-58.38305,Entire home/apt,4329,2,324,2019-08-26,2.62,7,365
77404,Beautiful Duplex - Trendy Palermo,161327,Mariano,,Palermo,-34.56692,-58.43324,Entire home/apt,2405,14,22,2021-05-27,0.19,12,351
77704,PALERMO SOHO Cheap Little Apt,417020,Jorge Fernando,,Palermo,-34.58236,-58.42726,Entire home/apt,1924,7,119,2018-11-26,0.98,1,365
77776,"BUENOS AIRES, RECOLETA, 2 BEDROOM APT",417598,Rd,,Recoleta,-34.58933,-58.40441,Entire home/apt,7216,2,0,,,1,362
77860,Private room with balcony with view,402373,Daniel,,Palermo,-34.57228,-58.43514,Private room,5772,2,0,,,1,365
78009,STUDIO DEFENSA 2A en San Telmo,64880,Elbio Mariano,,San Telmo,-34.61998,-58.37151,Entire home/apt,3367,2,42,2017-01-05,0.34,7,363
78014,STUDIO SOFA CAMA & PATIO,64880,Elbio Mariano,,San Telmo,-34.61998,-58.37151,Entire home/apt,3175,2,24,2019-04-04,0.20,7,365
78068,Lovely Place at a GREAT Location!,419383,Mariana Y Sebas,,Palermo,-34.58246,-58.4034,Entire home/apt,1704,3,19,2019-11-19,0.17,6,364
78351,"Apt in Palermo, Las Cañitas",420786,Carola,,Palermo,-34.5752,-58.43102,Entire home/apt,4040,5,11,2020-01-03,0.32,4,365
78685,Luminous Palermo 1BDR Apartment,419383,Mariana Y Sebas,,Palermo,-34.58349,-58.40625,Entire home/apt,1790,2,38,2019-04-08,0.82,6,347
78703,55% long term offer 30 days onwards !!!!,422878,Oscar,,Recoleta,-34.59446,-58.39588,Entire home/apt,2886,1,189,2019-09-15,1.68,2,297
79226,Petite Home,426420,Carolina,,Nuñez,-34.55235,-58.4581,Entire home/apt,1924,6,43,2019-03-28,0.37,1,200
79247,"Beautiful Apt in great location, 100% Good Reviews",426566,Egle,,Boedo,-34.6212,-58.41753,Entire home/apt,1704,90,46,2014-10-30,0.37,8,364
79766,!! Amazing 1Bdr Great Terrace - BBQ - sun/view !!,422878,Oscar,,Recoleta,-34.59118,-58.39664,Entire home/apt,5292,1,178,2020-03-01,1.95,2,252
80950,best neighborhood! palermo,438269,Sherine,,Palermo,-34.58929,-58.43574,Entire home/apt,2886,30,1,2018-09-08,0.03,2,365
82623,Garden studio flat with swimming pool,449610,Antonio,,Colegiales,-34.5742,-58.45024,Entire home/apt,2781,5,42,2018-04-01,0.61,1,140
